Bal;Date;Heure;debit (g/h);debit1 (g/h)
303;2022.10.06;53:51,3;14,003;14,003
304;2022.10.06;53:53,3;14,002;14,002
305;2022.10.06;53:55,3;13,998;13,998
306;2022.10.06;53:57,3;13,999;13,999
307;2022.10.06;53:59,3;13,994;13,994
308;2022.10.06;54:01,3;14,007;14,007
309;2022.10.06;54:03,3;14,002;14,002
310;2022.10.06;54:05,3;11,011;11,011
311;2022.10.06;54:07,3;11,011;11,011
312;2022.10.06;54:09,3;11,004;11,004
313;2022.10.06;54:11,3;11,004;11,004
314;2022.10.06;54:13,3;11,007;11,007
315;2022.10.06;54:15,3;10,998;10,998
316;2022.10.06;54:17,3;11,006;11,006
317;2022.10.06;54:19,3;11,006;11,006
318;2022.10.06;54:21,3;11,001;11,001
319;2022.10.06;54:23,3;10,997;10,997
320;2022.10.06;54:25,3;11,001;11,001
321;2022.10.06;54:27,3;10,998;10,998
322;2022.10.06;54:29,3;10,995;10,995
323;2022.10.06;54:31,3;11,003;11,003
324;2022.10.06;54:33,3;11,002;11,002
325;2022.10.06;54:35,3;11,002;11,002
326;2022.10.06;54:37,3;11,007;11,007
327;2022.10.06;54:39,3;11;11
328;2022.10.06;54:41,3;11,001;11,001
329;2022.10.06;54:43,3;11,002;11,002
330;2022.10.06;54:45,3;10,999;10,999
331;2022.10.06;54:47,3;11,003;11,003
332;2022.10.06;54:49,3;10,998;10,998
333;2022.10.06;54:51,3;8,011;8,011
334;2022.10.06;54:53,3;8,003;8,003
335;2022.10.06;54:55,3;8,001;8,001
336;2022.10.06;54:57,3;7,998;7,998
337;2022.10.06;54:59,3;8,007;8,007
338;2022.10.06;55:01,3;8;8
339;2022.10.06;55:03,3;7,996;7,996
340;2022.10.06;55:05,3;8,001;8,001
341;2022.10.06;55:07,3;7,998;7,998
342;2022.10.06;55:09,3;8,001;8,001
343;2022.10.06;55:11,3;8;8
344;2022.10.06;55:13,3;7,997;7,997
345;2022.10.06;55:15,3;8,003;8,003
346;2022.10.06;55:17,3;8;8
347;2022.10.06;55:19,3;7,998;7,998
348;2022.10.06;55:21,3;8,001;8,001
349;2022.10.06;55:23,3;7,996;7,996
350;2022.10.06;55:25,3;8;8
351;2022.10.06;55:27,3;8,004;8,004
352;2022.10.06;55:29,3;8;8
353;2022.10.06;55:31,3;8,001;8,001
354;2022.10.06;55:33,3;7,994;7,994
355;2022.10.06;55:35,3;8,005;8,005
356;2022.10.06;55:37,3;8;8
357;2022.10.06;55:39,3;7,995;7,995
358;2022.10.06;55:41,3;8,002;8,002
359;2022.10.06;55:43,3;7,997;7,997
360;2022.10.06;55:45,3;8,002;8,002
361;2022.10.06;55:47,3;8,003;8,003
362;2022.10.06;55:49,3;5,016;5,016
363;2022.10.06;55:51,3;5,003;5,003
364;2022.10.06;55:53,3;5,003;5,003
365;2022.10.06;55:55,3;5,003;5,003
366;2022.10.06;55:57,3;5,001;5,001
367;2022.10.06;55:59,3;4,995;4,995
368;2022.10.06;56:01,3;5,002;5,002
369;2022.10.06;56:03,3;5;5
370;2022.10.06;56:05,3;5,004;5,004
371;2022.10.06;56:07,3;4,997;4,997
372;2022.10.06;56:09,3;5,002;5,002
373;2022.10.06;56:11,3;4,993;4,993
374;2022.10.06;56:13,3;4,998;4,998
375;2022.10.06;56:15,3;5,003;5,003
376;2022.10.06;56:17,3;5,004;5,004
377;2022.10.06;56:19,3;5,001;5,001
378;2022.10.06;56:21,3;5,001;5,001
379;2022.10.06;56:23,3;5;5
380;2022.10.06;56:25,3;4,997;4,997
381;2022.10.06;56:27,3;5;5
382;2022.10.06;56:29,3;4,999;4,999
383;2022.10.06;56:31,3;4,996;4,996
384;2022.10.06;56:33,3;5,004;5,004
385;2022.10.06;56:35,3;4,994;4,994
386;2022.10.06;56:37,3;5,005;5,005
387;2022.10.06;56:39,3;5,004;5,004
388;2022.10.06;56:41,3;5,002;5,002
389;2022.10.06;56:43,3;5;5
390;2022.10.06;56:45,3;5,006;5,006
391;2022.10.06;56:47,3;5,003;5,003
392;2022.10.06;56:49,3;5,002;5,002
393;2022.10.06;56:51,3;5,005;5,005
394;2022.10.06;56:53,3;5,004;5,004
395;2022.10.06;56:55,3;4,998;4,998
396;2022.10.06;56:57,3;5;5
397;2022.10.06;56:59,3;5,003;5,003
398;2022.10.06;57:01,3;4,997;4,997
399;2022.10.06;57:03,3;5,002;5,002
400;2022.10.06;57:05,3;5;5
401;2022.10.06;57:07,3;4,999;4,999
402;2022.10.06;57:09,3;4,994;4,994
403;2022.10.06;57:11,3;2,028;2,028
404;2022.10.06;57:13,3;2,002;2,002
405;2022.10.06;57:15,3;2;2
406;2022.10.06;57:17,3;2;2
407;2022.10.06;57:19,3;2,008;2,008
408;2022.10.06;57:21,3;1,998;1,998
409;2022.10.06;57:23,3;2;2
410;2022.10.06;57:25,3;2,005;2,005
411;2022.10.06;57:27,3;2,002;2,002
412;2022.10.06;57:29,3;1,992;1,992
413;2022.10.06;57:31,3;2;2
414;2022.10.06;57:33,3;2,003;2,003
415;2022.10.06;57:35,3;2,008;2,008
416;2022.10.06;57:37,3;2,002;2,002
417;2022.10.06;57:39,3;2,002;2,002
418;2022.10.06;57:41,3;2,005;2,005
419;2022.10.06;57:43,3;2;2
420;2022.10.06;57:45,3;1,998;1,998
421;2022.10.06;57:47,3;2,004;2,004
422;2022.10.06;57:49,3;2,004;2,004
423;2022.10.06;57:51,3;1,994;1,994
424;2022.10.06;57:53,3;2,001;2,001
425;2022.10.06;57:55,3;1,999;1,999
426;2022.10.06;57:57,3;1,999;1,999
427;2022.10.06;57:59,3;2,002;2,002
428;2022.10.06;58:01,3;1,995;1,995
429;2022.10.06;58:03,3;1,999;1,999
430;2022.10.06;58:05,3;2,003;2,003
431;2022.10.06;58:07,3;2,004;2,004
432;2022.10.06;58:09,3;2,003;2,003
433;2022.10.06;58:11,3;2,007;2,007
434;2022.10.06;58:13,3;2,002;2,002
435;2022.10.06;58:15,3;1,995;1,995
436;2022.10.06;58:17,3;2;2
437;2022.10.06;58:19,3;2,004;2,004
438;2022.10.06;58:21,3;2,001;2,001
439;2022.10.06;58:23,3;2;2
440;2022.10.06;58:25,3;1,998;1,998
441;2022.10.06;58:27,3;1,997;1,997
442;2022.10.06;58:29,3;2,003;2,003
443;2022.10.06;58:31,3;1,994;1,994
444;2022.10.06;58:33,3;2;2
445;2022.10.06;58:35,3;1,995;1,995
446;2022.10.06;58:37,3;2;2
447;2022.10.06;58:39,3;2;2
448;2022.10.06;58:41,3;2;2
449;2022.10.06;58:43,3;2,003;2,003
450;2022.10.06;58:45,3;1,998;1,998
451;2022.10.06;58:47,3;2;2
452;2022.10.06;58:49,3;2,002;2,002
453;2022.10.06;58:51,3;2,004;2,004
454;2022.10.06;58:53,3;1,998;1,998
455;2022.10.06;58:55,3;1,999;1,999
456;2022.10.06;58:57,3;2,005;2,005
457;2022.10.06;58:59,3;2,857;2,857
458;2022.10.06;59:01,3;2,993;2,993
459;2022.10.06;59:03,3;3,001;3,001
460;2022.10.06;59:05,3;3;3
461;2022.10.06;59:07,3;3,004;3,004
462;2022.10.06;59:09,3;2,999;2,999
463;2022.10.06;59:11,3;2,999;2,999
464;2022.10.06;59:13,3;2,998;2,998
465;2022.10.06;59:15,3;3,005;3,005
466;2022.10.06;59:17,3;2,995;2,995
467;2022.10.06;59:19,3;3;3
468;2022.10.06;59:21,3;3,009;3,009
469;2022.10.06;59:23,3;3,006;3,006
470;2022.10.06;59:25,3;3;3
471;2022.10.06;59:27,3;2,999;2,999
472;2022.10.06;59:29,3;3,002;3,002
473;2022.10.06;59:31,3;3,005;3,005
474;2022.10.06;59:33,3;3;3
475;2022.10.06;59:35,3;2,998;2,998
476;2022.10.06;59:37,3;3,005;3,005
477;2022.10.06;59:39,3;3,005;3,005
